iter	Passed	Remaining
0	144	144534
1	145	72500
2	145	48465
3	146	36465
4	147	29271
5	147	24457
6	148	21019
7	148	18440
8	149	16432
9	149	14826
10	150	13514
11	150	12419
12	151	11492
13	151	10698
14	152	10010
15	152	9409
16	153	8878
17	154	8404
18	154	7992
19	155	7618
20	156	7277
21	156	6967
22	157	6687
23	158	6428
24	158	6192
25	159	5973
26	160	5769
27	160	5576
28	161	5404
29	162	5239
30	162	5082
31	163	4935
32	163	4797
33	164	4666
34	164	4543
35	165	4426
36	165	4316
37	166	4211
38	166	4114
39	167	4022
40	168	3932
41	168	3847
42	169	3768
43	170	3694
44	170	3621
45	171	3553
46	171	3485
47	172	3420
48	173	3359
49	173	3299
50	174	3240
51	174	3185
52	175	3131
53	175	3079
54	176	3029
55	176	2980
56	177	2934
57	177	2889
58	178	2846
59	179	2805
60	179	2764
61	180	2725
62	180	2686
63	181	2649
64	181	2614
65	182	2579
66	182	2546
67	183	2513
68	183	2482
69	184	2454
70	185	2425
71	185	2397
72	186	2369
73	187	2342
74	187	2315
75	188	2290
76	188	2264
77	189	2239
78	189	2214
79	190	2191
80	191	2168
81	191	2146
82	191	2121
83	192	2099
84	193	2078
85	193	2057
86	194	2036
87	194	2017
88	195	1997
89	195	1979
90	196	1960
91	196	1943
92	197	1926
93	198	1909
94	198	1892
95	199	1876
96	199	1860
97	200	1845
98	201	1830
99	201	1815
100	202	1800
101	202	1786
102	203	1772
103	204	1759
104	204	1745
105	205	1732
106	206	1719
107	206	1706
108	207	1693
109	207	1680
110	208	1668
111	208	1655
112	209	1643
113	209	1632
114	210	1620
115	211	1608
116	211	1596
117	212	1584
118	212	1573
119	213	1562
120	213	1552
121	214	1541
122	214	1531
123	215	1522
124	215	1511
125	216	1502
126	217	1491
127	217	1482
128	218	1473
129	218	1464
130	219	1454
131	219	1445
132	220	1436
133	221	1429
134	221	1421
135	222	1412
136	222	1404
137	223	1396
138	224	1388
139	224	1380
140	225	1372
141	225	1363
142	226	1356
143	226	1348
144	227	1341
145	228	1334
146	228	1326
147	229	1320
148	230	1314
149	230	1307
150	231	1301
151	232	1294
152	232	1288
153	233	1283
154	234	1277
155	234	1271
156	235	1264
157	236	1258
158	236	1252
159	237	1246
160	237	1239
161	238	1233
162	239	1227
163	239	1221
164	240	1215
165	240	1209
166	241	1204
167	241	1198
168	242	1192
169	243	1186
170	243	1180
171	244	1175
172	244	1170
173	245	1165
174	246	1160
175	246	1155
176	247	1150
